,cohen_d,magnitud
mfcc_4_std,0.983692120817609,Muy Grande (>0.8)
spectral_bandwidth_mean,0.8913061923658542,Muy Grande (>0.8)
mfcc_1_std,0.8426592818721702,Muy Grande (>0.8)
mfcc_8_mean,0.8354582211998464,Muy Grande (>0.8)
mfcc_6_mean,0.8011079579066516,Muy Grande (>0.8)
mfcc_9_mean,0.6894423760751854,Grande (0.5-0.8)
mfcc_7_mean,0.6590446861105411,Grande (0.5-0.8)
mfcc_4_mean,0.6355372233176386,Grande (0.5-0.8)
spectral_rolloff_mean,0.631136531470395,Grande (0.5-0.8)
mfcc_3_std,0.5978933549700315,Grande (0.5-0.8)
mfcc_11_mean,0.5776603678118986,Grande (0.5-0.8)
mfcc_10_std,0.5538634202634133,Grande (0.5-0.8)
mfcc_9_std,0.5535332456384736,Grande (0.5-0.8)
mfcc_5_mean,0.5300565824696092,Grande (0.5-0.8)
mfcc_8_std,0.5278626299080096,Grande (0.5-0.8)
rmse_mean,0.5252336494024369,Grande (0.5-0.8)
mfcc_10_mean,0.3949927155856211,Mediano (0.2-0.5)
mfcc_2_mean,0.36218058333470227,Mediano (0.2-0.5)
mfcc_12_mean,0.3557813916845796,Mediano (0.2-0.5)
mfcc_13_mean,0.3448424637054214,Mediano (0.2-0.5)
mfcc_1_mean,0.3362544266546741,Mediano (0.2-0.5)
mfcc_11_std,0.32611812545793356,Mediano (0.2-0.5)
mfcc_7_std,0.30626371637742306,Mediano (0.2-0.5)
mfcc_2_std,0.30035797835018446,Mediano (0.2-0.5)
spectral_centroid_mean,0.28359605774206775,Mediano (0.2-0.5)
signal_std,0.25271711516796014,Mediano (0.2-0.5)
mfcc_13_std,0.1996739218180156,Pequeño (<0.2)
mfcc_5_std,0.19054055482209414,Pequeño (<0.2)
signal_mean,0.178930112314296,Pequeño (<0.2)
zcr_mean,0.16472649155793948,Pequeño (<0.2)
mfcc_3_mean,0.061775869832297506,Pequeño (<0.2)
mfcc_12_std,0.042436220560441655,Pequeño (<0.2)
mfcc_6_std,0.030542336113805378,Pequeño (<0.2)
tempo_bpm,0.028230037666496396,Pequeño (<0.2)
